jabatan,instansi,unit_kerja,formasi,khusus_atau_disabilitas,penghasilan_min,penghasilan_max,kebutuhan,verifikasi
ARSIPARIS AHLI PERTAMA,Arsip Nasional Republik Indonesia,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH II,CPNS Putra/putri Kalimantan,Ya,7.97,8.58,1,3
ARSIPARIS AHLI PERTAMA,Arsip Nasional Republik Indonesia,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH I,CPNS Putra/putri Kalimantan,Ya,7.97,8.58,1,8
ARSIPARIS AHLI PERTAMA,Arsip Nasional Republik Indonesia,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH II,CPNS Umum,Ya,7.97,8.58,2,37
ARSIPARIS AHLI PERTAMA,Arsip Nasional Republik Indonesia,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH I,CPNS Umum,Ya,7.97,8.58,2,29
ARSIPARIS AHLI PERTAMA,Arsip Nasional Republik Indonesia,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG KONSERVASI ARSIP | DIREKTORAT PENGOLAHAN,CPNS Umum,Ya,7.97,8.58,1,19
MANGGALA INFORMATIKA AHLI PERTAMA,Badan Informasi Geospasial,Badan Informasi Geospasial | DEPUTI BIDANG INFRASTRUKTUR INFORMASI GEOSPASIAL | DIREKTORAT STANDAR DAN TEKNOLOGI INFORMASI GEOSPASIAL,CPNS Umum,Ya,5.5,7.8,1,30
PENELAAH TEKNIS INTELIJEN,Badan Intelijen Negara,"BADAN INTELIJEN NEGARA | SEKRETARIAT UTAMA | BIRO LOGISTIK | BAGIAN INVENTARISASI, DISTRIBUSI DAN PENGHAPUSAN | SUBBAGIAN INVENTARISASI",CPNS Umum,Tidak,3.5,7.5,1,32
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,PAPUA RAYA,CPNS Umum,Ya,4.5,7.5,5,75
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,Badan Karantina Indonesia | BKHIT Kalimantan Utara | Subbagian Umum,CPNS Umum,Ya,4.5,7.5,1,9
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,Badan Karantina Indonesia | BKHIT Kepulauan Bangka Belitung | Subbagian Umum,CPNS Umum,Ya,4.5,7.5,1,13
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,Badan Karantina Indonesia | BKHIT Kalimantan Selatan | Subbagian Umum,CPNS Umum,Ya,4.5,7.5,1,7
